Number;Data type;Strike [0,360);Dip [0,90];Dip direction;Rake [0,90];Strike direction;Striation trend [0,360);Type of mouvement;Line trend [0,360);Line plunge [0,90];Deformation phase;Relative weight;Min friction angle;Max friction angle;Min angle <s1,n>;Max angle <s1,n>;Scale;Bedding-plane-strike;Bedding-plane-dip;Bedding-plane-dip-direction;x;y;z
1;Extension Fracture;120;90;NE;;;;;;;;;;;;;;;;;;;
2;Extension Fracture;300;90;SW;;;;;;;;;;;;;;;;;;;
3;Stylolite Interfaphase;30;90;NW;;;;;;;;;;;;;;;;;;;
4;Stylolite Interfaphase;210;90;SE;;;;;;;;;;;;;;;;;;;
5;Crystal fibers in vein;;;;;;;;30;0;;;;;;;;;;;;;
6;Crystal fibers in vein;;;;;;;;210;0;;;;;;;;;;;;;
7;Stylolite teeth;;;;;;;;120;0;;;;;;;;;;;;;
8;Stylolite teeth;;;;;;;;300;0;;;;;;;;;;;;;
9;dilation band;120;90;N;;;;;;;;;;;;;;;;;;;
10;dilation band;300;90;S;;;;;;;;;;;;;;;;;;;
11;Striated plane;75;70;S;0;N;;right lateral;;;;;;;;;;;;;;;
12;Striated plane;165;70;N;0;S;;left-lateral;;;;;;;;;;;;;;;
13;striated plane;30;30;SE;90;N;;Inverse;;;;;;;;;;;;;;;
14;neoformed striated plane;150;90;N;0;N;;left-lateral;;;;;;;;;;;;;;;
15;neoformed striated plane;90;90;S;0;W;;right-lateral;;;;;;;;;;;;;;;
16;conjugate plane 1;80;90;S;;;;right-lateral;;;;;;;;;;;;;;;
17;conjugate plane 2;160;90;N;0;N;;left-lateral;;;;;;;;;;;;;;;
18;Striated plane;75;40;E;0;N;;right-lateral;;;;;;;;;;;;;;;
19;Striated plane;165;40;W;0;S;;left-lateral;;;;;;;;;;;;;;;
20;Striated plane;75;30;W;0;N;;right-lateral;;;;;;;;;;;;;;;
21;Striated plane;165;30;E;0;S;;left-lateral;;;;;;;;;;;;;;;
